,Year,Area/Region/Country,Country or Area of Origin / Total
1669,2017,Tunisia,57663
1670,2017,Western Sahara,5384
1671,2017,Southern Africa,4338205
1672,2017,Botswana,166430
1673,2017,Lesotho,6749
1674,2017,Namibia,95067
1675,2017,South Africa,4036696
1676,2017,Swaziland,33263
1677,2017,Western Africa,6770466
1678,2017,Benin,253284
1679,2017,Burkina Faso,708921
1680,2017,Cabo Verde,15295
1681,2017,Côte d'Ivoire,2197152
1682,2017,Gambia,205063
1683,2017,Ghana,417642
1684,2017,Guinea,122796
1685,2017,Guinea-Bissau,23405
1686,2017,Liberia,98630
1687,2017,Mali,383721
1688,2017,Mauritania,168438
1689,2017,Niger,295610
1690,2017,Nigeria,1235088
1691,2017,Saint Helena,606
1692,2017,Senegal,265601
1693,2017,Sierra Leone,95248
1694,2017,Togo,283966
1695,2017,ASIA,79586709
1696,2017,Central Asia,5462972
1697,2017,Kazakhstan,3635168
1698,2017,Kyrgyzstan,200294
1699,2017,Tajikistan,273259
1700,2017,Turkmenistan,195061
1701,2017,Uzbekistan,1159190
1702,2017,Eastern Asia,7776716
1703,2017,China,999527
1704,2017,China Hong Kong SAR,2883051
1705,2017,China Macao SAR,353654
1706,2017,Dem. People's Republic of Korea,48939
1707,2017,Japan,2321476
1708,2017,Mongolia,18204
1709,2017,Republic of Korea,1151865
1710,2017,Southern Asia,13582402
1711,2017,Afghanistan,133612
1712,2017,Bangladesh,1500921
1713,2017,Bhutan,52296
1714,2017,India,5188550
1715,2017,Iran (Islamic Republic of),2699155
1716,2017,Maldives,67026
1717,2017,Nepal,502670
1718,2017,Pakistan,3398154
1719,2017,Sri Lanka,40018
1720,2017,South-Eastern Asia,9873600
1721,2017,Brunei Darussalam,108612
1722,2017,Cambodia,76329
1723,2017,Indonesia,345930
1724,2017,Lao People's Democratic Republic,45466
1725,2017,Malaysia,2703629
1726,2017,Myanmar,74660
1727,2017,Philippines,218530
1728,2017,Singapore,2623404
1729,2017,Thailand,3588873
1730,2017,Timor-Leste,12063
1731,2017,Viet Nam,76104
1732,2017,Western Asia,42891019
1733,2017,Armenia,190719
1734,2017,Azerbaijan,259241
1735,2017,Bahrain,722649
1736,2017,Cyprus,188973
1737,2017,Georgia,78218
1738,2017,Iraq,366568
1739,2017,Israel,1962123
1740,2017,Jordan,3233553
1741,2017,Kuwait,3123431
1742,2017,Lebanon,1939212
1743,2017,Oman,2073292
1744,2017,Qatar,1721392
1745,2017,Saudi Arabia,12185284
1746,2017,State of Palestine,253735
1747,2017,Syrian Arab Republic,1013818
1748,2017,Turkey,4881966
1749,2017,United Arab Emirates,8312524
1750,2017,Yemen,384321
1751,2017,EUROPE,77895217
1752,2017,Eastern Europe,20121711
1753,2017,Belarus,1078652
1754,2017,Bulgaria,153803
1755,2017,Czechia,433290
1756,2017,Hungary,503787
1757,2017,Poland,640937
1758,2017,Republic of Moldova,140045
1759,2017,Romania,370753
1760,2017,Russian Federation,11651509
1761,2017,Slovakia,184642
1762,2017,Ukraine,4964293
1763,2017,Northern Europe,13946390
1764,2017,Channel Islands,83082
1765,2017,Denmark,656789
1766,2017,Estonia,192962
1767,2017,Faeroe Islands,5735
1768,2017,Finland,343582
1769,2017,Iceland,41853
1770,2017,Ireland,806549
1771,2017,Isle of Man,45872
1772,2017,Latvia,256889
1773,2017,Lithuania,124706
1774,2017,Norway,798944
1775,2017,Sweden,1747710
1776,2017,United Kingdom,8841717
1777,2017,Southern Europe,15957631
1778,2017,Albania,52484
1779,2017,Andorra,41039
1780,2017,Bosnia and Herzegovina,37100
1781,2017,Croatia,560483
1782,2017,Gibraltar,11152
1783,2017,Greece,1220395
1784,2017,Holy See,792
1785,2017,Italy,5907461
1786,2017,Malta,45539
1787,2017,Montenegro,70984
1788,2017,Portugal,880188
1789,2017,San Marino,5243
1790,2017,Serbia,801903
1791,2017,Slovenia,244790
1792,2017,Spain,5947106
1793,2017,TFYR Macedonia,130972
1794,2017,Western Europe,27869485
1795,2017,Austria,1660283
1796,2017,Belgium,1268411
1797,2017,France,7902783
1798,2017,Germany,12165083
1799,2017,Liechtenstein,24683
1800,2017,Luxembourg,264073
